Id;Lat;Lon;Country;State;LGA;Ward;Population;NESP_ID;Branch_id;Customers;Renewable energy share;Generator capacity (kw);PV size(kW);Battery capacity (kWh);Demand;Electr_type_phase_1;Electr_type_phase_2;Electr_type_phase_3;Distance_m
39750;8.719605010848;9.98943685682036;Nigeria;Plateau;Bassa;BUHIT;1255.779197;5083;247;237;68;58;60;136;82;none;grid;grid;7990
39755;9.48256373259507;8.92277598988884;Nigeria;Plateau;Shendam;SHENDAM CENTRAL (A);1970.953897;5088;283;372;72.6;87;100;240;131;none;none;grid;7620
39758;9.54656123949686;8.94115985049011;Nigeria;Plateau;Mikang;SHENDAM CENTRAL (A);2320.094302;5091;299;438;58.7;103;88;208;153;none;none;grid;8230
39765;9.97840225400664;8.67506325836017;Nigeria;Plateau;Wase;FAJUL;1024.896026;5098;189;193;71.3;60;86;176;76;none;mini-grid;intercon;29820
39768;8.99394758001831;9.50633989648268;Nigeria;Plateau;Barikin Ladi;MARIT/MAZAT;1692.204703;5101;252;319;91.8;76;100;416;111;none;grid;grid;890
39771;8.95978217091551;9.53733616653456;Nigeria;Plateau;Barikin Ladi;LOBIRING;1112.181128;5104;250;210;75.1;51;58;152;75;none;grid;grid;2080
39773;9.01159184996494;9.72917439663804;Nigeria;Plateau;Jos East;ZABOT;2483.401911;5106;244;469;67;117;120;248;171;none;mini-grid;intercon;9710
39778;9.44530139802767;9.45122489141604;Nigeria;Plateau;Pankshin;KADUNG;1618.997844;5111;290;305;71.3;79;84;208;111;none;grid;grid;14500
39786;8.90037792030131;9.43951794643621;Nigeria;Plateau;Barikin Ladi;MARIT/MAZAT;1633.076086;5119;242;308;69.2;77;76;176;105;none;grid;grid;3070
39787;9.04483068986441;9.60939709655452;Nigeria;Plateau;Barikin Ladi;TAFAN;2945.168252;5120;254;556;69.7;141;156;312;199;none;grid;grid;11920
39798;9.34561407917282;8.65100863599402;Nigeria;Plateau;Shendam;KWANDE;1942.797413;5131;253;367;73.5;89;104;232;125;none;none;grid;37520
39799;9.06111785981515;9.6249901865654;Nigeria;Plateau;Barikin Ladi;TAFAN;2477.770614;5132;254;468;66.3;114;126;232;171;none;grid;grid;13970
39800;9.0870103735541;9.29920750128535;Nigeria;Plateau;Bokkos;TANGUR;1610.550899;5133;259;304;70.1;73;80;184;107;none;grid;grid;12540
39801;10.3984320257707;9.44319986645194;Nigeria;Plateau;Kanam;GARGA;1283.935681;5134;218;242;69.3;63;66;136;84;none;none;grid;56840
39811;9.00104956999683;9.6433901665782;Nigeria;Plateau;Barikin Ladi;TAFAN;1782.305453;5144;248;336;68.5;78;84;208;125;none;grid;grid;10800
39814;9.11223149966056;9.66550162659371;Nigeria;Plateau;Barikin Ladi;KADUNU;1999.110381;5147;254;377;68.6;95;94;232;135;none;grid;grid;20220
39821;8.94976860015192;9.46521354645405;Nigeria;Plateau;Barikin Ladi;MARIT/MAZAT;1407.824212;5154;249;266;68.1;65;68;152;97;none;grid;grid;3490
39851;8.63356520110824;9.54176150650828;Nigeria;Plateau;Riyom;SHARUBUTU;934.7952772;5184;180;176;69.7;53;70;136;71;none;none;grid;11020
39861;9.83890192746286;8.68079603591352;Nigeria;Plateau;Langtang South;GAMAKAI;1013.633433;5194;188;191;68.3;51;50;104;70;none;none;grid;7330
39863;9.54253006835922;9.50133980648121;Nigeria;Plateau;Kanke;TAPSHIN;1247.332252;5196;298;235;69.5;54;62;136;87;none;grid;grid;1490
39899;9.87468429735472;9.03706401616124;Nigeria;Plateau;Langtang North;MBAN/ZAMKO;1267.041791;5232;209;239;69.4;58;64;136;84;none;none;grid;4960
39901;9.83048490748839;9.09715062620252;Nigeria;Plateau;Langtang North;LIPCHOK;985.4769488;5234;198;186;65;55;60;128;81;none;grid;grid;2600
39903;9.02592800231015;9.81829506729105;Nigeria;Plateau;Jos East;FURSUM;1444.427642;5236;257;273;64.2;89;90;184;111;none;none;grid;6290
39908;9.7941155476171;8.71323520594968;Nigeria;Plateau;Langtang South;MABUDI;1126.25937;5241;188;213;66.6;51;54;112;71;none;none;grid;1490
39918;9.9309898271845;9.2218087262904;Nigeria;Plateau;Kanam;NAMARAN;1407.824212;5251;212;266;67.7;64;66;152;99;none;none;grid;11840
39931;9.07411497977584;9.68899601661005;Nigeria;Plateau;Barikin Ladi;FURSUM;1050.236862;5264;244;198;64.5;63;66;136;78;none;none;grid;20470
39933;9.61188745814934;8.45440707575463;Nigeria;Plateau;Shendam;AZARA;1140.337612;5266;292;215;75.6;51;60;152;72;none;none;grid;36910
39953;9.59054733821396;9.10085261620286;Nigeria;Plateau;Pankshin;TUNKUS;1143.15326;5286;299;216;68;56;56;128;79;none;mini-grid;intercon;28030
39967;9.83786225746618;9.57718990653688;Nigeria;Plateau;Kanam;GAGDIB;1337.433002;5300;311;252;69.3;64;66;144;86;none;none;grid;30340
39979;9.51788617843365;8.68920349591662;Nigeria;Plateau;Shendam;KALONG;1464.137181;5312;288;276;68.2;66;72;152;103;none;none;grid;22000
39985;9.13142612960248;8.59779132585172;Nigeria;Plateau;'Qua''an Pan';NAMU;915.0857382;5318;253;173;74.4;63;116;248;78;mini-grid;mini-grid;intercon;47330
39997;9.18323282944579;8.73340067594578;Nigeria;Plateau;'Qua''an Pan';NAMU;1210.728822;5330;253;228;64.8;56;56;112;78;none;none;grid;33100
47383;9.95857607010174;9.0928419443115;Nigeria;Plateau;Wase;KUMBUR;25005;5335;210;4718;67.5;1428;1644;3640;2049;mini-grid;intercon;intercon;7020
