,power,Wind,GridAvailability,SolarGen
110,669.5,0.513,0,0.616
111,390.5,0.52,1,0.426
112,141.5,0.475,1,0.191
113,144.5,0.389,1,0.006999999999999999
114,153.0,0.342,1,0.0
115,381.0,0.318,0,0.0
116,379.0,0.284,1,0.0
117,131.0,0.257,1,0.0
118,108.0,0.243,1,0.0
119,105.0,0.28800000000000003,1,0.0
120,90.0,0.307,1,0.0
121,87.0,0.307,0,0.0
122,81.0,0.298,0,0.0
123,75.0,0.315,0,0.0
124,81.0,0.302,1,0.0
125,78.0,0.29100000000000004,1,0.0
126,84.0,0.27399999999999997,1,0.0
127,340.0,0.235,0,0.192
128,593.0,0.249,1,0.44799999999999995
129,87.0,0.267,0,0.636
130,90.0,0.256,1,0.752
131,107.0,0.253,1,0.807
132,124.5,0.262,0,0.787
133,143.5,0.285,1,0.736
134,171.0,0.326,1,0.627
135,223.0,0.36700000000000005,1,0.447
136,247.0,0.386,1,0.205
137,157.0,0.40299999999999997,1,0.008
138,165.5,0.408,1,0.0
139,590.5,0.40399999999999997,1,0.0
140,428.0,0.391,1,0.0
141,136.5,0.382,0,0.0
142,102.0,0.374,1,0.0
143,73.5,0.377,1,0.0
144,75.0,0.397,1,0.0
145,80.0,0.39899999999999997,1,0.0
146,83.5,0.40399999999999997,1,0.0
147,81.0,0.40399999999999997,0,0.0
148,75.0,0.395,1,0.0
149,78.0,0.39299999999999996,0,0.0
150,81.0,0.391,0,0.0
151,96.0,0.379,1,0.141
152,111.0,0.419,0,0.41700000000000004
153,120.0,0.461,1,0.594
154,123.0,0.511,1,0.698
155,101.5,0.57,0,0.7559999999999999
156,94.0,0.616,1,0.779
157,75.0,0.638,0,0.731
158,347.5,0.652,1,0.616
159,629.5,0.654,1,0.41600000000000004
160,353.5,0.639,1,0.174
161,180.5,0.584,0,0.006
162,146.0,0.527,1,0.0
163,541.5,0.507,1,0.0
164,160.0,0.494,1,0.0
165,313.5,0.498,1,0.0
166,105.0,0.493,1,0.0
167,108.0,0.498,1,0.0
0,75.0,0.847,1,0.0
1,80.5,0.794,0,0.0
2,91.5,0.752,1,0.0
3,81.0,0.718,1,0.0
4,81.0,0.6890000000000001,1,0.0
5,78.0,0.664,1,0.0
6,84.0,0.649,0,0.0
7,105.0,0.627,0,0.105
8,123.0,0.628,1,0.23199999999999998
9,114.0,0.6509999999999999,1,0.462
10,125.0,0.71,1,0.6940000000000001
11,120.5,0.805,1,0.763
12,129.0,0.8909999999999999,0,0.7390000000000001
13,160.0,0.941,0,0.688
14,135.0,0.966,1,0.574
15,437.0,0.972,1,0.381
16,395.0,0.972,0,0.156
17,125.0,0.97,1,0.005
18,99.0,0.971,1,0.0
19,607.5,0.971,1,0.0
20,430.0,0.977,0,0.0
21,84.5,0.982,1,0.0
22,111.0,0.983,1,0.0
23,105.0,0.9840000000000001,1,0.0
24,75.0,0.983,1,0.0
25,81.0,0.98,1,0.0
26,81.0,0.975,1,0.0
27,84.0,0.968,1,0.0
28,87.0,0.961,1,0.0
29,81.0,0.948,1,0.0
30,355.0,0.934,0,0.0
31,358.0,0.9329999999999999,1,0.128
32,104.0,0.948,0,0.364
33,103.0,0.9620000000000001,1,0.524
34,98.0,0.968,0,0.645
35,104.5,0.973,1,0.706
36,127.0,0.972,1,0.7140000000000001
37,128.5,0.965,1,0.6629999999999999
38,162.5,0.9540000000000001,0,0.551
39,196.0,0.943,1,0.36700000000000005
40,173.0,0.924,1,0.15
41,184.5,0.889,1,0.006
42,185.0,0.847,1,0.0
